College,CIP,Program,Bachelors,Masters,Doctorate,Professional,Other,Joint Degree Program,Limited Access Bachelors,Multiple UF Colleges
Education,42.2805,School Psychology,NA,M,D,NA,S,NA,NA,NA
Education,51.1505,Marriage and Family Living/Counseling,NA,M,NA,NA,S,NA,NA,NA
Education,51.1508,"Agency, Correctional Developmental Counseling",NA,M,NA,NA,S,NA,NA,NA
Engineering,11.0101,Computer Science,B,NA,D,NA,NA,NA,NA,NA
Engineering,11.0104,Human-Centered Computing,NA,NA,D,NA,NA,NA,NA,NA
Engineering,14.0201,Aerospace Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.0301,Agricultural/Biological Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.0501,Biomedical Engineering,B,M,D,NA,NA,NA,L,NA
Engineering,14.0701,Chemical Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.0801,Civil Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.0901,Computer Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.1001,"Electrical, Electronics Engineering",B,M,D,NA,NA,NA,NA,NA
Engineering,14.1401,Environmental Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.1801,Materials Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.1901,Mechanical Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.2301,Nuclear Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.2401,Coastal & Ocean Engineering,NA,M,D,NA,NA,NA,NA,NA
Engineering,14.2701,Industrial & Systems Engineering,B,M,D,NA,NA,NA,NA,NA
Engineering,14.4501,Biological Engineering,B,NA,NA,NA,NA,NA,NA,NA
Engineering,50.0102,Digital Arts/Digital Media,B,M,NA,NA,NA,J,NA,NA
Health and Human Performance,26.0908,Exercise Physiology,B,M,D,NA,NA,NA,NA,NA
Health and Human Performance,31.0301,Parks & Recreation & Management,B,M,NA,NA,NA,NA,NA,NA
Health and Human Performance,31.0504,Sport Management,B,M,NA,NA,NA,NA,NA,NA
Health and Human Performance,51.0913,Athletic Training,B,NA,NA,NA,NA,NA,L,NA
Health and Human Performance,51.2208,Community Health,B,M,NA,NA,NA,NA,NA,NA
Journalism and Communications,09.0102,Communication (Mass),NA,M,D,NA,NA,NA,NA,NA
Journalism and Communications,09.0401,Journalism,B,NA,NA,NA,NA,NA,L,NA
Journalism and Communications,09.0701,Radio & TV  Broadcasting,B,NA,NA,NA,NA,NA,L,NA
Journalism and Communications,09.0902,Public Relations & Organizational Comm.,B,NA,NA,NA,NA,NA,L,NA
Journalism and Communications,09.0903,Advertising,B,NA,NA,NA,NA,NA,L,NA
Law,22.0101,Law,NA,NA,NA,P,NA,NA,NA,NA
Law,22.0206,Comparative Law,NA,M,NA,NA,NA,NA,NA,NA
Law,22.0207,Environmental and Land Use Law,NA,M,NA,NA,NA,NA,NA,NA
Law,22.0210,International Taxation,NA,M,NA,NA,NA,NA,NA,NA
Law,22.0211,Tax Law/Taxation,NA,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,05.0107,Latin American Studies,NA,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,05.0201,African American Studies,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,05.0207,Women's Studies,B,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,11.0101,Computer & Information Science,B,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0101,Foreign Languages and Literatures,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0102,Linguistics,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0399,East Asian Language/Literature,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0402,Russian,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0501,German,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0901,French,B,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0904,Portuguese,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0905,Spanish,B,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.0999,Romance Languages,NA,NA,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.1200,Classics & Classical Languages,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,16.1203,Latin,NA,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,23.0101,"English, General",B,M,D,NA,NA,NA,L,NA
Liberal Arts and Sciences,23.1302,Creative Writing,NA,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,26.0101,Biology,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,26.0301,"Botany, General",B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,26.0503,Microbiology/Bacteriology,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,26.0701,Zoology,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,26.0801,Genetics and Genomics**,NA,NA,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,27.0101,"Mathematics, General",B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,27.0501,Statistics,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,30.2001,International Studies,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,30.3301,Sustainability & Built Environment,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,30.9999,Independent/Interdisciplinary Studies,B,M,NA,NA,NA,NA,L,NA
Liberal Arts and Sciences,38.0101,Philosophy,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,38.0201,Religious Studies,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,38.0206,Jewish Studies,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,40.0201,Astronomy,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,40.0501,Chemistry,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,40.0601,Geology,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,40.0801,Physics,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,42.0101,"Psychology, General",B,M,D,NA,NA,NA,L,NA
Liberal Arts and Sciences,42.2803,Counseling Psychology,NA,NA,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.0201,Anthropology,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.0401,Criminal Justice Studies,B,M,D,NA,NA,NA,L,NA
Liberal Arts and Sciences,45.0601,Economics,B,NA,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.0701,Geography,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.0901,International Relations,NA,M,NA,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.1001,Political Science & Government,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,45.1101,Sociology,B,M,D,NA,NA,NA,NA,NA
Liberal Arts and Sciences,54.0101,History,B,M,D,NA,NA,NA,NA,NA
Medicine,26.0210,Biochemistry,NA,M,NA,NA,NA,NA,NA,NA
Medicine,26.0801,Genetics and Genomics,NA,NA,D,NA,NA,J,NA,NA
Medicine,26.1309,Epidemiology,NA,M,D,NA,NA,NA,NA,NA
Medicine,26.9999,Medical Sciences,NA,M,D,NA,NA,NA,NA,NA
Medicine,51.0912,Physician Assistant,NA,M,NA,NA,NA,NA,NA,NA
Medicine,51.1201,Medicine,NA,NA,NA,P,NA,NA,NA,NA
Multiple UF College,26.0801,Genetics and Genomics,NA,NA,D,NA,NA,NA,NA,U
Nursing,51.3801,Nursing,B,M,NA,NA,NA,NA,L,NA
Nursing,51.3808,Nursing Science,NA,NA,D,NA,NA,NA,NA,NA
Nursing,51.3818,Nursing Practice,NA,NA,NA,P,NA,NA,NA,NA
Pharmacy,51.2001,Pharmacy,NA,NA,NA,P,NA,NA,NA,NA
Pharmacy,51.2010,Pharmaceutical Science,NA,NA,D,NA,NA,NA,NA,NA
Pharmacy,51.2099,Pharmaceutical Science,NA,M,NA,NA,NA,NA,NA,NA
Public Health and Health Professions,26.1102,Biostatistics,NA,M,D,NA,NA,NA,NA,NA
Public Health and Health Professions,26.1309,Epidemiology,NA,NA,D,NA,NA,NA,NA,NA
Public Health and Health Professions,42.0101,"Psychology, General",NA,M,D,NA,NA,NA,NA,NA
Public Health and Health Professions,51.0000,Health Science,B,NA,NA,NA,NA,NA,L,NA
Public Health and Health Professions,51.0202,Audiology,NA,NA,NA,P,NA,NA,NA,NA
Public Health and Health Professions,51.0204,Communication Sciences and Disorders,B,M,D,NA,NA,NA,L,NA
Public Health and Health Professions,51.0701,Health Services Admin,NA,M,D,NA,NA,NA,NA,NA
Public Health and Health Professions,51.2201,Public Health,B,M,D,NA,NA,NA,L,NA
Public Health and Health Professions,51.2202,Environmental and Global Health,NA,M,NA,NA,NA,NA,NA,NA
Public Health and Health Professions,51.2306,Occupational Therapy,NA,M,D,NA,NA,NA,NA,NA
Public Health and Health Professions,51.2308,Physical Therapy,NA,NA,NA,P,NA,NA,NA,NA
Public Health and Health Professions,51.2314,Rehabilitation Science,NA,NA,D,NA,NA,NA,NA,NA
Veterinary Medicine,01.8101,Veterinary Medical Sciences,NA,M,D,NA,NA,NA,NA,NA
Veterinary Medicine,51.2401,Veterinary Medicine,NA,NA,NA,P,NA,NA,NA,NA
